№	Категория	Производитель	Наименование	Характеристика	Штрих код																																																																																																																					
225	биойогурт	ОАО «Эфирное» (ОАО «ЭФКО») 2020	Биойогурт «Слобода», обогащенный лактобактериями L.casei, с клубникой		4 600 699 507 390																																																																																																																					
226	майонез	ОАО «Эфирное» (ОАО «ЭФКО») 2020	Майонез «Провансаль Слобода» Оливковый с массовой долей жира 67%		4 600 699 502 197																																																																																																																					
227	Горошек консервированный	ООО «Бондюэль-Кубань» (Динской)	Консервы натуральные. Зеленый горошек «Нежный» т.м. «Бондюэль»		3 083 680 538 404																																																																																																																					
228	Кукуруза	ООО «Бондюэль-Кубань» (Динской)	Кукуруза сладкая в зернах в вакуумной упаковке т.м. «Globus»		5 998 304 241 111																																																																																																																					
229	Горошек консервированный	ООО «Кубанские консервы» (Тимашевск)	Консервы натуральные. Зеленый горошек «Нежный» т.м. «Бондюэль»		3 083 680 048 774																																																																																																																					
230	кукуруза	ООО «Кубанские консервы» (Тимашевск)	Кукуруза сладкая в зернах в вакуумной упаковке т.м. «Globus»		5 998 304 241 111																																																																																																																					
231	корм для собак	ООО «Марс»	сухой полнорационный PEDIGREE® для щенков всех пород от 2 месяцев с курицей		4 607 065 002 725																																																																																																																					
232	пюре	ООО «Завод детского питания «Фаустово»	пюре из цветной капусты т.м. «Бабушкино Лукошко»		4 600 728 004 760																																																																																																																					
233	Вода питьевая 	АО «ПРОГРЕСС»	Вода питьевая для детского питания «ФрутоНяня детская вода»		4 600 338 002 781																																																																																																																					
234	мед	ООО «Частные пасеки Берестова» 	Мед натуральный цветочный полифлорный «Берестов А.С.» «Избранное» Алтайцвет «Горный» 		4 607 072 770 914																																																																																																																					
235	Рис круглозерный	ООО «Первая Крупяная Компания»	Крупа рисовая шлифованная высшего сорта т.м. «ПАССИМ»/«PASSIM»		4 605 093 013 201																																																																																																																					
236	стеклоомывающая жидкость	ООО «Текомхим»	Продукт стеклоочиститель зимний Фин типпа – 20°С		4 607 066 982 705																																																																																																																					
237	стеклоомывающая жидкость	АО Обнинскоргсинтез	Стекоомывающая жидкость Лукойл		4 670 027 143 750																																																																																																																					
238																																																																																																																										
239																																																																																																																										
240	Детские трикотажные ползунки	Рославольская трикотажная фабрика «Апрель»	Комбинезон Верный друг																																																																																																																							
241	Детские трикотажные ползунки	Тривел ВФТП	Комбинезон ясельный Тривел		4 690 297 032 202																																																																																																																					
242	Носки. Детские	Борисоглебский трикотаж	Носки детские		4 620 003 891 175																																																																																																																					
243	Одеяла Стеганые	Ол-Текс	"Одеяло ""Бамбук"" всесезонное"		4 670 013 443 055																																																																																																																					
